"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Climber","Date","Style","Note","Source"
"96","Ali Hulk (extension total)","9a+","Rodellar","Spain","Piotr Schab","2018-07","Piotr Schab","2018-07","Redpoint","",""
"97","Ali Hulk (extension total)","9a+","Rodellar","Spain","Piotr Schab","2018-07","Jonatan Flor","2019-07-15","Redpoint","",""
"98","Ali Hulk (extension total)","9a+","Rodellar","Spain","Piotr Schab","2018-07","Álex Garriga","2019-09-28","Redpoint","",""
"99","Ali Hulk (extension total)","9a+","Rodellar","Spain","Piotr Schab","2018-07","Dani Fuertes","2020-09-14","Redpoint","","https://www.desnivel.com/escalada-roca/dani-fuertes-encadena-ali-hulk-extension-total-9a-en-rodellar/"
"100","Ali Hulk (extension)","9a+","Rodellar","Spain","Dani Andrada","2007-09-12","Dani Andrada","2007-09-12","Redpoint","",""
"101","Ali Hulk (extension)","9a+","Rodellar","Spain","Dani Andrada","2007-09-12","Magnus Midtbø","2010","Redpoint","",""
"102","Ali Hulk (extension)","9a+","Rodellar","Spain","Dani Andrada","2007-09-12","Danilo Pereyra","2011-09-20","Redpoint","",""
"103","Ali Hulk (extension)","9a+","Rodellar","Spain","Dani Andrada","2007-09-12","Dimitri Sharafutdinov","2012-07-27","Redpoint","",""
"104","Ali Hulk (extension)","9a+","Rodellar","Spain","Dani Andrada","2007-09-12","Jorge Díaz-Rullo","2017-08-12","Redpoint","",""
"105","Ali Hulk (extension)","9a+","Rodellar","Spain","Dani Andrada","2007-09-12","Piotr Schab","2018-07","Redpoint","",""
"106","Ali Hulk (extension)","9a+","Rodellar","Spain","Dani Andrada","2007-09-12","Enrique Gallardo","2020-09-30","Redpoint","","https://www.desnivel.com/escalada-roca/enrique-gallardo-se-sube-al-9a-de-ali-hulk-extension-no-entraba-en-mis-planes/"
"107","Ali Hulk (fin de extension total sitstart)","9a+","Rodellar","Spain","","","Jorge Díaz-Rullo","2019-08-07","Redpoint","","https://escalando.eu/17180/jorge-diaz-rullo-se-hace-con-la-primera-de-fin-de-ali-hulk-extension-sit-start-un-nuevo-9a-en-la-cueva-de-rodellar/"
"108","Ali Hulk (fin de extension total sitstart)","9a+","Rodellar","Spain","","","Dave Graham","2020-09-28","Redpoint","","https://www.desnivel.com/escalada-roca/dave-graham-repite-fin-de-ali-extension-sit-start-9a-en-rodellar/"
"109","Ali Hulk (fin de extension total sitstart)","9a+","Rodellar","Spain","","","Dani Fuertes","2020-10-06","Redpoint","","https://www.desnivel.com/escalada-roca/dani-fuertes-se-regala-otro-9a-para-su-40-cumpleanos/"
